disease_name,age_range,gender,body_parts,symptoms,treatment,url
Low blood pressure,,Both men and women but more common in women,"Heart
Blood vessels","Neck or back pain, Increased thirst indicating dehydration, Sensation of chills, Cold, clammy, or pale skin, Blurred vision or impaired sight, Emotional changes such as depression, cognitive difficulties like confusion, or trouble concentrating, Nausea or the urge to vomit, Rapid and shallow breathing, Physical symptoms like fatigue, dizziness, or fainting spells, Here are some signs of low blood pressure to watch for:, Unexpected episodes of sweating despite ambient temperature",Treatment for low blood pressure is crucial as low blood pressure can be a symptom of some other underlyig condition. It includes,https://www.1mg.com/diseases/low-blood-pressure-742
Scabies,,Both men and women,"Skin
Genitals","Occasionally, there may be scaly patches on the skin that resemble eczema., If you have had scabies before, signs and symptoms may develop within a few days of exposure. If you’ve never had scabies, it can take as long as six weeks for signs and symptoms to begin. A person may have scabies if the following symptoms are present:, Rash or bumps on the skin with a burrow-like appearance., NOTE: In infants and young children, common sites of infestation usually include the scalp , palms of hand, and soles of feet., A severe type of scabies, called Norwegian scabies, leads to the formation of thick crusts on the skin., A severe itching sensation in the affected areas of the skin that usually worsens at night., Although scabies can affect any part of the skin, common sites of infestation are - armpits, between fingers, inner elbows, around the waist, scalp, palms, soles of feet, etc.",Scabies is treated with topical application of anti-scabies creams or lotions. The creams or lotions must be applied all over the body and not just the area of itch as the scabies mite may be present in different areas of the body. It is recommended to simultaneously treat all members living in close proximity to the patient to eradicate the parasite completely.,https://www.1mg.com/diseases/scabies-376
Chronic obstructive pulmonary disease (COPD),,"Both men and women, but more common in men",Lungs,"Chest pain, Sputum production, Shortness of breath, Symptoms of chronic obstructive pulmonary disease usually worsen gradually, making daily activities harder over time, although treatment can slow progression., Other symptoms (usually seen in advanced stages), Wheezing, Common symptoms of COPD can include:, Chest tightness or heaviness, Swollen ankles, Coughing up blood, Weight loss, Persistent cough, Tiredness/ fatigue, Frequent chest infections",,https://www.1mg.com/diseases/chronic-obstructive-pulmonary-disease-copd-172
Zinc deficiency,,,Whole body,"Impotence, Delayed wound healing, Frequent cold and infections, Skin rash, Hypogonadism (in males), Diarrhea, Loss of appetite, Vision problems, Weight loss, Difficulty in learning, The symptoms of zinc deficiency start appearing after months of having low levels of zinc. The symptoms vary as per the levels of zinc and are non-specific, often resembling other medical conditions. Therefore, it is necessary to conduct a medical examination for confirmation.    People with zinc deficiency may experience:, Growth retardation, Skin ulcers, Hair loss, In children and adolescents there can be:, Decrease in the sense of smell or taste, Mental lethargy, Eye and skin lesions, Delayed puberty","Patients suffering from zinc deficiency can manage it by increasing the intake of zinc through diet. If dietary modifications fail to show any improvement in your condition, your doctor might recommend supplementation.",https://www.1mg.com/diseases/zinc-deficiency-937
Bacterial infections,,Both men and women,,"The symptoms of bacterial infection would depend on the condition, the organ affected, and the kind of bacteria causing the infection.",,https://www.1mg.com/diseases/bacterial-infections-248
Pulmonary embolism,,"Both men and women, but more common in women",Lungs,"Chest pain, Palpitations, Shortness of breath, Wheezing, Coughing blood, Pain or swelling in the leg, Lightheadedness, Low blood pressure, Note: Chest pain is the most common symptom of pulmonary embolism. It is a sharp, stabbing, and aching pain that is difficult to manage an individual facing.   Learn about first aid for chest pain. Click Here, Anxiety, Rapid or irregular heartbeat, The symptoms may vary depending on the size of the clots, involvement of the lungs, and depending upon underlying medical conditions. The following are the most common symptoms of pulmonary embolism (PE):, Cold clammy and discolored skin (cyanosis), Fainting, Sweating",,https://www.1mg.com/diseases/pulmonary-embolism-85
Hyperthyroidism,,Both men and women but more common in women,"Thyroid gland
Heart
Skeletal system
Skin
Eyes","Palpitations or rapid heartbeat, Thin skin, Excessive sweating, Unexplained weight loss, Thin, brittle hair, Irregular heartbeat (arrhythmia), Muscle weakness, Sleep disorders, Bulging of the eyes, Double vision, Increased frequency of bowel movements and diarrhea, Older adults may present with different symptoms that can be mistaken for depression. They are more likely to show either no symptoms or subtle ones such as loss of appetite, heat intolerance, fatigue or withdrawal from people., Enlarged thyroid gland leading to swelling of the neck (goitre), Hyperthyroidism can cause several symptoms that affect your entire body. It is possible to experience more than one symptom at the same time. Some of the common symptoms of hyperthyroidism are:, Trembling in your hands and fingers, Intolerance towards heat, Nervousness and irritability, Menstrual changes, Increased appetite","Hyperthyroidism can be managed through several kinds of treatment modalities. The best approach is decided on an individuals age, overall wellbeing, underlying cause, and severity of the disorder. The treatments include:",https://www.1mg.com/diseases/hyperthyroidism-140
Chickenpox,,Both men & women,Skin,"The symptoms caused by chickenpox infection appear 10 to 21 days after exposure to the virus and usually last about 5 to 10 days. The initial symptoms may resemble any other infection.  At the beginning of chickenpox, a person may begin to feel unwell followed by the appearance of the classic rash of chickenpox after a day or two. One is contagious to close contact up to 48 hours before the skin rash starts to occur.  The common non-rash symptoms of chickenpox are as follows:, Blisters (vesicles): The bumps eventually get filled up with fluid, forming blisters that begin to break open and leak., Once the chickenpox rash and blisters appear on the body, they go through the following three phases:, Red or pink-looking bumps (papules): These are often first noted on the stomach, chest, back, or face areas, which then spread throughout the body., Crusting or scabbing: The blisters develop a crust, and scab, and begin to heal., Flu-like symptoms such as a cough or runny nose, Fatigue or tiredness, Loss of appetite, Malaise which is the general feeling of being unwell, Muscle or joint pain, A fever that usually lasts for 3-5 days and is in the range of 101°–102°F (38.3°–38.8°C)., In severe cases of chickenpox rashes and blisters start spreading throughout the body. In some cases, small lesions may even form on the throat, around the eyes, and in the mucus membranes of the urethra, vagina or anus., Headache",Chickenpox usually runs its course in a week or 10 days. The treatment is mostly aimed at relieving the symptoms. Non Aspirin products such as Paracetamol can be taken to reduce fever.,https://www.1mg.com/diseases/chickenpox-288
Overactive bladder (OAB),,"Both men and women, but more common in women","Bladder
Detrusor muscle
Urethra
Pelvic floor muscles
Nerves controlling bladder function","Sudden, strong urge to urinate that is difficult to control, Overactive bladder (OAB) symptoms are marked by urinary urgency, often accompanied by other lower urinary tract symptoms. It occurs without infection or another obvious cause. These can include:, An overactive bladder may feel overwhelming, but it doesn’t have to limit your daily life. Explore our wide range of adult diapers designed for discreet protection and all-day comfort. Buy Here, Unintentional urine leakage (urinary incontinence) associated with urgency., Urge to urinate more often during the daytime, Waking up one or more times at night to urinate (nocturia)",,https://www.1mg.com/diseases/overactive-bladder-oab-244
Jet lag,,Both men and women,Brain,"Jet lag is a temporary sleep disturbance that occurs while traveling across multiple time zones. It can affect individuals differently, and the severity of symptoms can vary depending on factors like the number of time zones crossed and an individual's sensitivity to time zone changes. Common symptoms may include:",,https://www.1mg.com/diseases/jet-lag-154
Tinnitus (ringing in the ears),,Both men and women but more common in women,Ears,"Difficulty in concentration, The symptoms of tinnitus can vary from person to person. One may hear an array of sounds in one ear, in both ears and in your head. These include:, Whistling, Insomnia or lack of sleep, Roaring, Hissing, Squeaking, Decreased speech discrimination, Rhythmic pulsing or thumping sound in sync with their heartbeat, Increased sensitivity to sound, Clicking, Ringing, Other most common associated symptoms include:, Buzzing",Treatment for tinnitus is focused on managing and reducing the perception and impact of the noise rather than curing it completely. Here are some commonly used treatments and strategies for managing tinnitus:,https://www.1mg.com/diseases/tinnitus-ringing-in-the-ears-648
Diabetic eye disease,,Both males and females,Eyes,"Diabetic retinopathy is a major complication of diabetes, but keeping blood sugar in check can help prevent it. Get tested regularly—early detection of diabetes can protect your vision and overall health. Book Diabetes Screening, Trouble reading or seeing faraway objects, Sudden vision loss (in advanced cases), In the early stages, diabetic retinopathy often has no symptoms. Changes in the vision can appear as the condition progresses. Possible symptoms may include:, Blurry vision, Dark, floating spots or cobweb-like streaks, Vision that changes from clear to blurry",,https://www.1mg.com/diseases/diabetic-eye-disease-339
Whooping cough,,Both men and women,Lungs,"The incubation period (the time period between exposure to an infection and the appearance of the first symptoms of the disease) is 7-14 days.  The symptoms can be divided into three stages:, The initial symptoms of whooping cough are mild and are similar to common cold which includes:, Low fever (below 102 degrees F), Nasal congestion, Mild cough, Vomiting, Runny nose, Extreme fatigue, Red or blue face, High-pitched “whoop” sound with the subsequent breath of air, This stage is characterized by paroxysms -- episodes of sudden outburst or bouts of cough. A thick layer of mucus accumulates inside the airways and causes uncontrollable coughing. Cough is marked by high pitched and long rasping indrawn breath at the end. This phase lasts for approximately 2-6 weeks.  Prolonged and severe coughing may lead to:, Not every whooping cough patient develops the characteristic “whoop” sound. In this case, persistent cough is considered a symptom for the disease. Intense coughing often results in loss of bladder control, heaviness in the head, headaches, vomiting, and exhaustion. Sudden but common triggers for the uncontrollable cough include yawning, stretching, laughing, yelling, or exercise. It may also occur more frequently at night.  The longer it takes to treat the disease, the more frequent cough episodes may be experienced. Infants with whooping cough may not be able to cough and instead may find it very difficult to breathe., The intensity and paroxysms of cough decrease gradually over 1-4 weeks. The vomiting becomes less frequent. Appetite, general condition and overall health usually improves., Sneezing, The cough becomes more severe and frequent as the disease progresses. Though the cough may not be typically paroxysmal (sudden outbursts) in early stages, it tends to be annoying and more frequent at night., This is  the most infectious period and lasts for 1-2 weeks.","Whooping cough is a bacterial infection and therefore can be treated with antibiotics. If the treatment of whooping cough is initiated at an early stage, it becomes easy to manage the severity of the symptoms. If your doctor confirms the presence of the infection, you will be recommended to start antibiotics right away.",https://www.1mg.com/diseases/whooping-cough-921
Hemophilia,,Both men and women but more common in men,"Joints
Brain
Teeth
Nose","Prolonged bleeding after surgery or trauma, Presence of hematoma (clots), Spontaneous bleeding to joints, muscles, and soft tissues, Excessive bruising, Extensive bleeding after childbirth, Restricted motion of joints, Painful and swollen joints (most commonly affected joints are knees, elbows, ankles, shoulders, wrists, and hips), Unexplained bleeding in the digestive tract, Bleeding into the joint cavity, Abdominal pain, Blood in urine or stool, People with hemophilia bleed longer than other people. The symptoms of hemophilia include:, Unexplained irritability in babies, often due to internal bleeding, Heavy and prolonged menstrual bleeding, Nosebleeds",,https://www.1mg.com/diseases/hemophilia-1037
Bed-wetting,,Both boys and girls but more common in boys,Urinary system,,,https://www.1mg.com/diseases/bed-wetting-127
Frozen shoulder,,Both men and women but more common in women,Shoulder,"Gradual onset of shoulder pain, which worsens over time., Pain might lessen during this stage but stiffness becomes more pronounced., The shoulder joint becomes increasingly immobile, and activities that involve lifting the arm become extremely difficult., Difficulty extending the arm across the body or reaching behind the back, Using the affected arm for everyday tasks becomes severely limited., The range of motion in the shoulder gradually improves, but it may take several months to years to return to normal., Pain and enduring stiffness in the shoulder joint, Pain is often felt deep in the shoulder and can be particularly intense at night., This stage might span anywhere from 4 to 12 months., A challenge in raising one's arm above the head, This stage can last anywhere from 6 weeks to 9 months., Pain might subside, but some discomfort may still be present during movement., Full recovery or complete strength typically takes from 5 months to 2 years., Functional use of the shoulder improves, and daily activities become easier to perform., The shoulder starts to lose range of motion, making daily activities like reaching or dressing challenging.",,https://www.1mg.com/diseases/frozen-shoulder-1015
Diabetes insipidus,,Both men and women,"Kidneys
Brain","Diabetes insipidus (DI) is a rare disorder characterized by the excretion of large volumes of dilute urine and excessive thirst. Common symptoms can include:, Muscle pain, Coma, Changes in alertness, Dehydration signs (e.g., dry skin, sunken eyes)., Polydipsia (excessive thirst), Vomiting, Loss of appetite, Bed-wetting due to frequent urination, Symptoms in infants and young children, Weight loss, Headache, Severe symptoms, usually due to dehydration/electrolyte imbalance:, Confusion, Rapid heart rate, Seizures, Early recognition of these symptoms can help manage DI effectively and avoid complications like dehydration. At Tata 1mg, we aim to make diabetes care easier, bringing essential health support within your reach. Explore Diabetes Care, Fatigue or tiredness, Dizziness, Excessive crying, Dry skin, Poor feeding, Fever, Irritability, Polyuria (excessive urination), Nausea, Slow growth, Nocturia (frequent nighttime urination)",,https://www.1mg.com/diseases/diabetes-insipidus-126
Epilepsy,,Both men and women but more common in men,Brain,"Autonomic symptoms: Loss of bowel/ bladder control, unregulated increase or decrease in heart rate may be seen., Emotional lability: Excessive and unprovoked laughter, crying, anger or sadness may be seen., Involuntary movement occurs at the time of seizure leading to nerve damage. It often produces small twitches in the affected muscles. Some involuntary movements include:, People with epilepsy tend to have more physical problems such as fractures and bruises related to seizures. Elders are more prone to falls and injury and hurt themselves once and many times a year., A seizure is a transient occurrence of signs or symptoms due to abnormal excessive or synchronous neuronal activity in the brain. Epilepsy describes a condition in which a person has a high risk of recurrent (2 or more) unprovoked seizures. It is a neurological disorder that affects the normal activities of the brain. The abnormal activity could be due to inherited conditions, trauma to the head, and developmental disorders.  The symptoms between individuals vary from mild to severe in form depending upon the type of seizure. Symptoms such as temporary confusion, episodes of staring blankly, uncontrollable jerks and twitching of arms and legs, loss of consciousness or awareness, and psychological symptoms like fear, anxiety, and depression. The common signs and symptoms of epilepsy include:, Tardive dyskinesia: A neurological condition that originates in the brain with the use of neuroleptic drugs. A disorder that results in repetitive, involuntary body movement that includes grimacing (the face twists in an ugly way), rapid jerking movements, blinking of the eyes, and protruding tongue. This disorder interferes with normal daily functioning., Non-motor symptoms: These are not as common as motor symptoms seen during the episodes of seizures, but can be present in few patients especially those who have atypical presentations., Myoclonus: It is a quick involuntary muscle jerk. It occurs right before sleeping or waking up. The person might experience an electric shock and rhythmic movements., Abnormal movements may begin in avery restricted region of limb like fingers and progress gradually over seconds to minutes to involve a large portion of extremity and even involving whole body, eventually culminating into generalized seizures., The abnormal activity in the brain results in seizures. At the time of a seizure, the person experiences change in behavior and automatic responses such as hunger, emotional distress, and fight or flight response., Tremors: It can be a symptom of a seizure. It is an uncontrolled and involuntary movement. Typically a person may experience the following symptoms like uncontrollable nodding head, balance problems, numbness in any part of the body, and stooped posture., Some of the patients may experience a transient paralysis of the limb or part involved in the seizure, this may last upto minutes to many hours., Sensory symptoms: Patients may experience sensory symptoms such as numbness, burning sensation, and tingling sensation., Staring at everything and not responding to anything. It is often accompanied by attention blackouts, mumbling, or no response. It is one of the common presentations seen in cases of absence seizures","Treatment with antiepileptics or anti-seizure medications can alleviate symptoms. They are a class of drugs primarily used to treat seizures associated with epilepsy. Usually the treatment is started with a single antiepileptic drug, but if your doctor feels it is not sufficient then a combination of drugs may also be used. The other treatment options include vagus nerve stimulator, ketogenic diet, and surgery. But, medication is the first line of treatment.",https://www.1mg.com/diseases/epilepsy-156
Genital warts,,"Both men and women, but more common in men.","Penis
Vulva
Vagina
Cervix
Scrotum
Anus
Groin
Thighs
Urethra","Mild pain, especially during sex or while passing urine, Occasional bleeding from the warts, Moist texture or soft feel on the surface of the warts., Small, flesh-colored or gray bumps on the genital or anal area, Genital warts may not always cause symptoms, but they can cause discomfort. Here are common symptoms:, Warts may appear alone or in clusters (like a cauliflower shape), Itching, irritation, or discomfort in the affected area","While genital warts may go away on their own, treatment can help remove them faster, ease discomfort, and reduce the risk of spreading the virus. It includes:",https://www.1mg.com/diseases/genital-warts-292
Mouth ulcers,,Both men and women but more common in women,"Mouth
Tongue
Gums
Lips","Mouth ulcers are easy to recognise. They usually begin as a round yellowish spot or bump with a red border or halo. This later on breaks down into a punched out ulcer which is covered with a white,yellowish or greyish membrane. Surrounding area usually appears unaffected and healthy. The following symptoms are generally experienced with mouth ulcers:",,https://www.1mg.com/diseases/mouth-ulcers-203
Nose bleeding,,Both men and women,Nose,The signs and symptoms of nose bleeding include:,,https://www.1mg.com/diseases/nose-bleeding-614
Dengue,,Both men and women,"Liver
Lungs
Brain
Spleen","The symptoms of dengue can be confused with other common illnesses such as flu, malaria, and chikungunya. However, dengue should be suspected if you develop a sudden onset of high-grade fever (40°C/104°F) along with rash, nausea and body aches.     According to the WHO, dengue can be categorised into 3 phases:",,https://www.1mg.com/diseases/dengue-559
Sepsis,,Both men and women,"Blood
Stomach
Intestine
Lungs
Kidneys
Liver
Central nervous system","Sepsis progresses through three stages, sepsis, severe sepsis and septic shock. One can even get sepsis while recovering from an illness in the hospital. The symptoms depending on the stage include:, Increased heart rate, A confirmed infection in the body, Respiratory failure, Bone marrow suppression leading to decreased platelet counts, Discolored skin or a hemorrhagic rash in the skin, Increased breathing rate of more than twenty breaths per minute, Confusion or disorientation, Decreased urination, Weakness and dizziness, Clammy and sweaty skin, Difficulty in breathing, Stroke, Heart failure, Organ failure due to tissue damage, Abnormal heart functions causing cardiomyopathy (heart disease leading to difficulty in pumping blood to the body), Slurred speech, Reduced body temperature leading to chills, Fever above 101 F, Death",Immediate and aggressive treatment increases the chances of survival in sepsis. Treatment in time is essential to prevent a septic shock. Patients with sepsis require lifesaving measures such as oxygen and breathing machines. The following treatment options are adopted to stabilize patients with sepsis symptoms. They include:,https://www.1mg.com/diseases/sepsis-944
Jaundice,,Both men and women but more common in men,"Liver
Gallbladder
Pancreas","Pale or clay-colored stools, Dark urine, Vomiting, Abdominal pain and tenderness, Easy bruising or bleeding, causing the tiny reddish-purple rash, Dark or tarry stool, Agitation or confusion, Itchiness in the skin, A yellow tinge to the skin, mucous membranes, and the whites of the eyes, Other symptoms that accompany jaundice may include:, Some individuals may present certain signs and symptoms while others don’t. Here are common symptoms of jaundice that include:, Fatigue, tiredness, and drowsiness, Loss of appetite, Nausea, Blood in vomit or stool, Flu-like symptoms (fever and chills), Weight loss","Jaundice usually does not require any treatment in adults, but the treatment is majorly based on the cause of jaundice. The treatment of choice for jaundice is the correction of the underlying hepatobiliary or hematological disease. Here are some of the options for the treatment and management of jaundice:",https://www.1mg.com/diseases/jaundice-548
Vitamin B12 deficiency,,Both men and women but more common in men,"Blood
Brain
Heart
Skin
Eyes
Digestive system
Nervous System
Gastrointestinal tract","Maintaining healthy nerve cells and supporting normal brain function., Extreme tiredness, Memory problems and cognitive difficulties, Since the body relies on vitamin B12 to carry out these important bodily functions, deficiency of Vitamin B12,  may cause some of the following symptoms:, The formation of red blood cells., Poor balance and coordination, Muscle weakness, Numbness and tingling, Digestive issues such as nausea, diarrhea, constipation, or loss of appetite, Mood changes, DNA synthesis, contributing to overall cell division and growth., Mouth ulcers, Hyperpigmentation of skin (a condition where certain areas of skin are darker), If you are experiencing any such symptoms, do not neglect them. Book a Vitamin Check Test, Vitamin B12 plays a crucial role in:, Dizziness and lightheadedness, Sore and red tongue, Pale or jaundiced skin, Joint pain, Disturbed vision",The duration and route of treatment varies depending on the underlying cause of the deficiency and the severity of the symptoms. Here are some common methods used to treat vitamin B12 deficiency:,https://www.1mg.com/diseases/vitamin-b12-deficiency-690
Throat cancer,,Both men and women but more common in men,"Base of the tongue
Tonsils
Soft palate
Larynx (Voice box)
Upper or lower part of the pharynx (throat)","Gastrointestinal issues, including excessive reflux (GERD), diarrhea, or constipation, Breathing difficulties or shortness of breath, Common symptoms may include:, Unexplained weight loss, Nasal congestion, Persistent sensation of throat obstruction, Cancer care should be accessible to all. Everyone deserves early detection, the best treatments, and compassionate support. Get the care you deserve with Tata 1mg. Explore Cancer Care Platform, Ear pain, Difficulty in swallowing, The signs of throat cancer may differ based on the particular site and stage of the disease., Swollen lymph glands, Lumps in the neck and throat, Coughing up phlegm tinged with blood, Persistent sore throat, Throat pain, Persistent cough, Hoarseness or change in voice, Additional symptoms of throat cancer, often seen in advanced stages, may include:",,https://www.1mg.com/diseases/throat-cancer-993
Body Ache,,Both men and women but more common in women,Whole body,"Following symptoms are commonly associated with body aches:, Not feeling refreshed even after taking ample rest., Not having enough energy to perform routine activities or a feeling of discomfort while performing routine activities., A dull aching, low-intensity pain that occurs all over the body., Sometimes, fever and chills occur along with body ache.",Treatment for body ache is broadly divided into:,https://www.1mg.com/diseases/body-ache-906
Obesity,,Both men and women but more common in women,"Entire body, but more common around the waistline","Osteoarthritis in weight-bearing joints, especially the knees, Pain in joints, especially in the back and knees, Skin infections from moisture accumulating in the folds of skin, Excessive sweating, Shortness of breath or chest pain, Stretch marks, Tiredness or fatigue ranging from mild to severe, Psychological issues such as low self-esteem, depression, and social isolation, Insomina or trouble sleeping, Snoring while sleeping, Sleep apnea (breathing is irregular and periodically stops during sleep), The symptoms of obesity can vary from person to person. Some of the most common symptoms include:, Swelling and varicose veins in legs, Excess body fat, particularly around the waistline, A history of weight gain, Inability to perform simple physical tasks that one could easily perform before weight gain","Obesity is a chronic and complex disease with significant health consequences. In case, lifestyle changes don't work, then consult your healthcare provider to evaluate the need for the next level of treatment -- medications and surgery.",https://www.1mg.com/diseases/obesity-111
Measles,,Both boys and girls,"Skin
Eyes
Respiratory tract
Ears
Brain","Begins as red spots, progressing to small red-brown patches that may join together, Rash fades in the same order it appeared, Immunocompromised individuals may not develop a rash due to a weak immune response, Vomiting, Diarrhea, Tiredness and weakness, Swollen eyelids, Runny nose, Typically develops 3–5 days after initial symptoms, around 2 weeks post-infection, Loss of appetite, Look like small grayish-white spots inside the cheeks or on the roof of the mouth, Cough, Headache, May be present for a few days, High fever (can reach up to 104°F / 40°C), During this time, the infected person can easily transmit the virus to others, even before they realize they are sick., Measles symptoms usually begin 7 to 14 days after exposure to the virus. The illness starts with:, Other symptoms, Measles rash, A person with measles is contagious from 4 days before the appearance of the rash to about 4 days after the rash develops., Muscle pain (myalgia), Some patients may also experience:, Not seen in all patients, In malnourished children, skin peeling (desquamation) may follow rash resolution, Koplik spots, Appears 1–2 days before the skin rash, Usually starts on the face and neck, then spreads to the rest of the body, Red, watery eyes (often sensitive to light), Stomach pain",,https://www.1mg.com/diseases/measles-915
Sjogren’s Syndrome,,Both men and women but more common in women,"Most common: Mouth and eyes
Less common: Lungs, kidneys, liver, lymph nodes, and nerves",Sjogren’s syndrome can affect the whole body and can cause inflammation of organs like the kidneys or lungs. The symptoms of Sjogren's syndrome include:,"Once the diagnosis is done, the doctors will develop a comprehensive treatment plan that will depend on the extent and severity of the symptoms. Most symptoms can be treated with over-the-counter products whereas some may require prescription medications or minor surgical procedures.

While some individuals may only experience dry eyes and dry mouth, there will be systemic symptoms such as difficulty in concentrating, memory lapses, fatigue, and joint pain. In some cases, the disease can also affect the blood vessels and internal organs like the lungs and the kidneys. The treatment for various symptoms is discussed below:",https://www.1mg.com/diseases/sjogrens-syndrome-916
